ProductKey,OrderDateKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount
349,20050701,5,SO43659,1,1,1,2024.994,2024.994
350,20050701,5,SO43659,2,1,3,2024.994,6074.982
351,20050701,5,SO43659,3,1,1,2024.994,2024.994
344,20050701,5,SO43659,4,1,1,2039.994,2039.994
345,20050701,5,SO43659,5,1,1,2039.994,2039.994
346,20050701,5,SO43659,6,1,2,2039.994,4079.988
347,20050701,5,SO43659,7,1,1,2039.994,2039.994
229,20050701,5,SO43659,8,1,3,28.8404,86.5212
235,20050701,5,SO43659,9,1,1,28.8404,28.8404
218,20050701,5,SO43659,10,1,6,5.7,34.2
223,20050701,5,SO43659,11,1,2,5.1865,10.373
220,20050701,5,SO43659,12,1,4,20.1865,80.746
326,20050701,5,SO43660,1,1,1,419.4589,419.4589
319,20050701,5,SO43660,2,1,1,874.794,874.794
300,20050701,6,SO43661,1,1,1,809.76,809.76
296,20050701,6,SO43661,2,1,1,714.7043,714.7043
304,20050701,6,SO43661,3,1,2,714.7043,1429.4086
223,20050701,6,SO43661,4,1,4,5.1865,20.746
232,20050701,6,SO43661,5,1,4,28.8404,115.3616
293,20050701,6,SO43661,6,1,2,722.5949,1445.1898
348,20050701,6,SO43661,7,1,3,2024.994,6074.982
351,20050701,6,SO43661,8,1,2,2024.994,4049.988
220,20050701,6,SO43661,9,1,2,20.1865,40.373
292,20050701,6,SO43661,10,1,2,818.7,1637.4
349,20050701,6,SO43661,11,1,4,2024.994,8099.976
346,20050701,6,SO43661,12,1,2,2039.994,4079.988
235,20050701,6,SO43661,13,1,2,28.8404,57.6808
350,20050701,6,SO43661,14,1,2,2024.994,4049.988
215,20050701,6,SO43661,15,1,5,20.1865,100.9325
330,20050701,6,SO43662,1,1,3,419.4589,1258.3767
342,20050701,6,SO43662,2,1,5,419.4589,2097.2945
272,20050701,6,SO43662,3,1,2,183.9382,367.8764
315,20050701,6,SO43662,4,1,4,874.794,3499.176
262,20050701,6,SO43662,5,1,3,183.9382,551.8146
326,20050701,6,SO43662,6,1,5,419.4589,2097.2945
332,20050701,6,SO43662,7,1,3,419.4589,1258.3767
338,20050701,6,SO43662,8,1,2,419.4589,838.9178
314,20050701,6,SO43662,9,1,1,2146.962,2146.962
317,20050701,6,SO43662,10,1,1,874.794,874.794
328,20050701,6,SO43662,11,1,3,419.4589,1258.3767
275,20050701,6,SO43662,12,1,1,356.898,356.898
319,20050701,6,SO43662,13,1,6,874.794,5248.764
270,20050701,6,SO43662,14,1,1,183.9382,183.9382
253,20050701,6,SO43662,15,1,3,178.5808,535.7424
310,20050701,6,SO43662,16,1,1,2146.962,2146.962
322,20050701,6,SO43662,17,1,3,419.4589,1258.3767
264,20050701,6,SO43662,18,1,1,183.9382,183.9382
276,20050701,6,SO43662,19,1,1,356.898,356.898
285,20050701,6,SO43662,20,1,1,178.5808,178.5808
334,20050701,6,SO43662,21,1,3,419.4589,1258.3767
316,20050701,6,SO43662,22,1,1,874.794,874.794
322,20050701,4,SO43663,1,1,1,419.4589,419.4589
345,20050701,1,SO43664,1,1,1,2039.994,2039.994
348,20050701,1,SO43664,2,1,4,2024.994,8099.976
229,20050701,1,SO43664,3,1,1,28.8404,28.8404
235,20050701,1,SO43664,4,1,1,28.8404,28.8404
350,20050701,1,SO43664,5,1,2,2024.994,4049.988
344,20050701,1,SO43664,6,1,3,2039.994,6119.982
346,20050701,1,SO43664,7,1,1,2039.994,2039.994
351,20050701,1,SO43664,8,1,1,2024.994,2024.994
220,20050701,1,SO43665,1,1,2,20.1865,40.373
346,20050701,1,SO43665,2,1,1,2039.994,2039.994
212,20050701,1,SO43665,3,1,1,20.1865,20.1865
232,20050701,1,SO43665,4,1,2,28.8404,57.6808
350,20050701,1,SO43665,5,1,2,2024.994,4049.988
223,20050701,1,SO43665,6,1,2,5.1865,10.373
348,20050701,1,SO43665,7,1,2,2024.994,4049.988
351,20050701,1,SO43665,8,1,1,2024.994,2024.994
