18269,Canada; Hungary; United States
18270,United States; Malta; France; United Kingdom
18271,United Kingdom; France; Belgium
18272,Turkey; Azerbaijan
18273,United Kingdom; New Zealand
18274,Germany; Sri Lanka
18275,Kuwait; United States
18276,United Kingdom; Australia; United States
18277,Italy; Switzerland; Albania; Poland
18278,Canada; India
18279,France; Canada; United States
18280,United States; Germany; Mexico
18281,United Kingdom; China; United States
18282,United Kingdom; Namibia; South Africa; Zimbabwe; United States
18283,Uruguay; Argentina
18284,France; Switzerland; Spain; United States; United Arab Emirates
18285,Germany; France; United States; Canada; United Kingdom
18286,New Zealand; United States
18287,Mexico; Argentina
18288,Israel; Germany
18289,United Kingdom; Lithuania
18290,Finland
18291,Portugal; United States
18292,Kenya; United States
18293,France; Japan
18294,Switzerland; United Kingdom; United States
18295,United Kingdom; Japan
18296,New Zealand; United Kingdom
18297,Ireland; United States
18298,Pakistan; United States
18299,United States; India; United Kingdom
18300,United States; Ireland; United Kingdom; India
18301,Mexico; Spain
18302,United Kingdom; Canada; United States
18303,Canada; United States; Cayman Islands
18304,Denmark; Sweden; Israel; United States
18305,India; Canada
18306,United States; United Kingdom; Spain; South Korea
18307,Chile; Italy
18308,Indonesia; South Korea; Singapore
18309,Belgium; United Kingdom; United States
18310,India; Soviet Union
18311,United Kingdom; France; United States; Belgium
18312,United Kingdom; Czech Republic; Germany; United States
18313,South Korea
18314,Mexico; United States
18315,Canada; Mexico; Germany; South Africa
18316,United States; United Kingdom; Morocco
18317,Ireland; United Kingdom; Greece; France; Netherlands
18318,Germany; United States; Italy
18319,Finland; Germany
18320,Japan; Canada
18321,United States; United Kingdom; Canada; China
18322,Chile; Argentina; France; Spain; United States
18323,Singapore; Japan; France
18324,United Kingdom; United States; Canada
18325,Argentina; Chile; Peru
18326,Israel; United States
18327,Romania; France; Switzerland; Germany
18328,Spain; France; Canada
18329,Spain; Thailand; United States
18330,United Kingdom; France
18331,United States; Sweden
18332,China; United States; Australia
18333,United Kingdom; United States; Spain; Germany; Greece; Canada
18334,Italy; Brazil; Greece
18335,United Kingdom; South Africa; France
18336,United States; South Korea; China
18337,United States; Uruguay
18338,New Zealand; Australia; France; United States
18339,France; South Korea; Japan; United States
18340,United Kingdom; Poland; United States
18341,United States; China; Colombia
18342,Brazil; France; Germany
18343,United States; Sweden; Norway
18344,Hong Kong; United States
18345,Spain; France; Canada; United States
18346,France; United Kingdom; United States
18347,Guatemala
18348,United Kingdom; Belgium
18349,United States; Denmark
18350,Spain; Mexico; France
18351,Paraguay; Argentina
18352,United Kingdom; United States; Czech Republic
18353,India; Turkey
18354,United Kingdom; France; Spain; United States
18355,Argentina; Spain
18356,Norway; Sweden
18357,Italy; Switzerland; France; Germany
18358,United States; Hungary; Ireland; Canada
18359,United Kingdom; Russia
18360,Czech Republic; France
18361,Ireland; Switzerland; United Kingdom; France; United States
18362,United Kingdom; France; Belgium; Canada; United States
18363,Denmark; Indonesia; Finland; Norway; United Kingdom; Israel; France; United States; Germany; Netherlands
18364,United States; Brazil; India; Uganda; China
18365,United States; United Kingdom; Italy
18366,Vietnam
18367,Portugal; Spain
18368,Romania; United States
18369,India; Germany
18370,France; United States; Canada
18371,Norway; Denmark
18372,France; Belgium; United States
18373,South Africa; United States; New Zealand; Canada
18374,United States; United Arab Emirates
18375,New Zealand; United Kingdom; Australia
18376,United Kingdom; Russia; United States
18377,India; United Kingdom; Canada; United States
18378,South Korea; Japan
18379,United Kingdom; Czech Republic; United States; Germany; Bahamas
18380,Peru; United States; United Kingdom
18381,United Kingdom; United States; France
18382,United States; Belgium; Canada; France
18383,France; South Korea; Japan
18384,Spain; United States
18385,New Zealand
