8802,​​Kuch Bheege Alfaaz,Dramas; Independent Movies; International Movies,After accidentally connecting over the Internet two strangers form a tight friendship – not knowing they already share a bond.,Geetanjali Thapa; Zain Khan Durrani; Shray Rai Tiwari; Mona Ambegaonkar; Chandreyee Ghosh; Barun Chanda; Saheb Bhattacharjee; Shefali Chauhan
8803,​Goli Soda 2,Action & Adventure; Dramas; International Movies,A taxi driver a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians evil dons and caste barriers.,Samuthirakani; Bharath Seeni; Vinoth; Esakki Barath; Chemban Vinod Jose; Gautham Menon; Krisha Kurup; Subiksha
8804,​Maj Rati ​​Keteki,Dramas; International Movies,A successful writer returns to the town that launched his career encountering people who spark nostalgic often painfully illuminating flashbacks.,Adil Hussain; Shakil Imtiaz; Mahendra Rabha; Sulakshana Baruah; Rahul Gautam Sarma; Kulada Bhattacharjya; Indu Mohan Das; Moumita Talukdar
8805,​Mayurakshi,Dramas; International Movies,When a middle-aged divorcee returns to Kolkata to visit his ailing father long-buried memories resurface bringing new discoveries with them.,Soumitra Chatterjee; Prasenjit Chatterjee; Indrani Haldar; Sudipta Chakraborty; Suman Banerjee; Gargi Roychowdhury
8806,​SAINT SEIYA: Knights of the Zodiac,Anime Series; International TV Shows,Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena but a dark prophecy hangs over them all.,Bryson Baugus; Emily Neves; Blake Shepard; Patrick Poole; Luci Christian; Adam Gibbs; Masakazu Morita; Fumiko Orikasa; Takahiro Sakurai; Hiroaki Miura; Satomi Sato; Katsuyuki Konishi
8807,#Alive,Horror Movies; International Movies; Thrillers,As a grisly virus rampages a city a lone man stays locked inside his apartment digitally cut off from seeking help and desperate to find a way out.,Yoo Ah-in; Park Shin-hye
8808,#AnneFrank - Parallel Stories,Documentaries; International Movies,Through her diary Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.,Helen Mirren; Gengher Gatti
8809,#blackAF,TV Comedies,Kenya Barris and his family navigate relationships race and culture while grappling with their newfound success in this comedy series.,Kenya Barris; Rashida Jones; Iman Benson; Genneya Walton; Scarlet Spencer; Justin Claiborne; Ravi Cabot-Conyers
8810,#cats_the_mewvie,Documentaries; International Movies,This pawesome documentary explores how our feline friends became online icons from the earliest text memes to the rise of celebrity cat influencers.,
8811,#FriendButMarried,Dramas; International Movies; Romantic Movies,Pining for his high school crush for years a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.,Adipati Dolken; Vanesha Prescilla; Rendi Jhon; Beby Tsabina; Denira Wiraguna; Refal Hady; Diandra Agatha; Sari Nila
8812,#FriendButMarried 2,Dramas; International Movies; Romantic Movies,As Ayu and Ditto finally transition from best friends to newlyweds a quick pregnancy creates uncertainty for the future of their young marriage.,Adipati Dolken; Mawar de Jongh; Sari Nila; Vonny Cornellya; Clay Gribble; Ivan Leonardy; Sarah Sechan; Jourdy Pranata
8813,#realityhigh,Comedies,When nerdy high schooler Dani finally attracts the interest of her longtime crush she lands in the cross hairs of his ex a social media celebrity.,Nesta Cooper; Kate Walsh; John Michael Higgins; Keith Powers; Alicia Sanz; Jake Borelli; Kid Ink; Yousef Erakat; Rebekah Graf; Anne Winters; Peter Gilroy; Patrick Davis
8814,#Roxy,Comedies; Romantic Movies,A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,Jake Short; Sarah Fisher; Booboo Stewart; Danny Trejo; Pippa Mackie; Jake Smith; Patricia Zentilli; Carter Thicke
8815,#Rucker50,Documentaries; Sports Movies,This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.,
8816,#Selfie,Comedies; Dramas; International Movies,Two days before their final exams three teen girls make a seaside getaway to have the time of their lives.,Flavia Hojda; Crina Semciuc; Olimpia Melinte; Sali Levent; Vlad Logigan; Alex Călin; Alina Chivulescu; Răzvan Vasilescu
8817,#Selfie 69,Comedies; Dramas; International Movies,After a painful breakup a trio of party-loving friends makes a bet: who can get married in three days.,Maia Morgenstern; Olimpia Melinte; Crina Semciuc; Flavia Hojda; Maria Dinulescu; Alex Călin; Vlad Logigan; Sali Levent; Silvia Busuioc; Mihaela Mihut
